label,side,min_dist_mm,mean_dist_mm,max_dist_mm,vessel_overlap_voxels
AD,left,193.59,194.39,195.01,0
AD,right,196.19,196.74,197.42,0
AM,left,194.31,196.19,198.08,0
AM,right,196.06,198.68,201.88,0
AV,left,190.37,195.49,199.75,0
AV,right,195.59,199.27,203.45,0
CL,left,174.36,184.91,195.94,0
CL,right,182.72,191.7,198.64,0
CM,left,173.8,179.28,184.43,0
CM,right,182.04,187.65,191.14,0
CeM,left,87.72,182.42,271.54,0
CeM,right,87.74,183.52,271.25,0
Hb,left,177.23,179.97,182.39,0
Hb,right,180.76,182.77,184.54,0
LD,left,87.72,182.77,271.54,0
LD,right,87.74,183.46,271.48,0
LGNmc,left,87.75,185.99,271.61,0
LGNmc,right,87.75,187.03,271.62,0
LGNpc,left,160.9,166.9,170.31,0
LGNpc,right,186.41,190.64,195.77,0
LP,left,171.48,178.83,186.26,0
LP,right,188.08,193.06,198.24,0
Li,left,169.83,174.73,181.42,0
Li,right,87.72,183.24,271.54,0
MAX_VOLUME,left,162.46,180.27,198.66,0
MAX_VOLUME,right,177.95,192.02,205.29,0
MDmc,left,181.74,188.26,193.51,0
MDmc,right,184.57,189.94,195.22,0
MDpc,left,178.94,186.46,193.99,0
MDpc,right,184.19,191.35,197.15,0
MGN,left,165.5,169.15,172.42,0
MGN,right,181.54,185.73,190.56,0
MV,left,187.37,189.68,192.15,0
MV,right,190.27,191.94,194.03,0
Pf,left,173.55,179.82,186.38,0
Pf,right,87.75,184.54,271.53,0
Po,left,87.75,185.35,271.61,0
Po,right,87.75,186.76,271.62,0
PuA,left,90.06,184.77,271.21,0
PuA,right,183.12,189.28,193.36,0
PuI,left,162.46,164.56,167.48,0
PuI,right,87.73,196.09,271.49,0
PuL,left,162.46,167.78,173.84,0
PuL,right,185.74,190.22,194.47,0
PuM,left,163.3,171.81,181.51,0
PuM,right,179.75,185.74,192.51,0
Pv,left,191.73,192.52,193.53,0
Pv,right,192.82,192.82,192.82,0
RN,left,172.39,176.95,181.92,0
RN,right,178.48,182.83,187.89,0
SG,left,168.69,170.53,173.01,0
SG,right,181.23,183.35,185.81,0
STh,left,176.33,181.22,186.2,0
STh,right,186.46,191.11,195.21,0
VAmc,left,87.73,191.76,271.62,0
VAmc,right,87.73,194.34,271.49,0
VApc,left,185.77,192.24,197.58,0
VApc,right,193.04,200.61,206.37,0
VLa,left,179.75,186.56,192.49,0
VLa,right,191.54,197.89,203.93,0
VLpd,left,181.65,188.52,196.53,0
VLpd,right,194.71,199.57,204.96,0
VLpv,left,174.52,183.95,193.23,0
VLpv,right,189.75,195.52,201.89,0
VM,left,87.73,195.59,271.49,0
VM,right,88.47,197.27,271.28,0
VPI,left,87.78,189.07,271.62,0
VPI,right,88.47,198.19,271.12,0
VPLa,left,88.48,186.53,270.97,0
VPLa,right,88.67,192.27,271.49,0
VPLp,left,171.0,178.79,188.96,0
VPLp,right,188.38,193.82,198.66,0
VPM,left,88.4,187.44,271.62,0
VPM,right,184.11,189.38,194.66,0
global,left,162.46,180.27,198.66,0
global,right,177.95,192.02,205.29,0
mtt,left,182.99,188.05,195.05,0
mtt,right,186.82,192.09,200.15,0
sPf,left,178.38,180.96,184.07,0
sPf,right,184.79,186.02,188.28,0
thalamus_body,left,165.5,169.18,172.42,0
thalamus_body,right,180.95,185.71,190.65,0
