subject_id,warp_candidate,refine_candidate,status,duration_sec,mean_boundary_improvement,mean_volume_drift,mean_compactness_delta,total_vessel_overlap,description,best_candidate
IXI002-Guys-0828,W1,R1,SUCCESS,20.8,0.2465,118511.5416,-0.9632,0,Gaussian intensity-based local boundary refinement,R1
IXI002-Guys-0828,W1,R2,SUCCESS,108.2,0.0,0.0,0.0,0,"Graph-cut / active contour, T1+T2 joint",R1
IXI002-Guys-0828,W1,R3,SUCCESS,14.4,0.0,0.0,0.0,0,Morphological correction only (baseline),R1
IXI002-Guys-0828,W2,R1,SUCCESS,17.2,0.0348,69698.9285,-0.4766,0,Gaussian intensity-based local boundary refinement,R1
IXI002-Guys-0828,W2,R2,SUCCESS,116.1,0.0,0.0,0.0,0,"Graph-cut / active contour, T1+T2 joint",R1
IXI002-Guys-0828,W2,R3,SUCCESS,15.6,0.0,0.0,0.0,0,Morphological correction only (baseline),R1
IXI002-Guys-0828,W3,R1,SUCCESS,19.3,0.2465,118511.5416,-0.9632,0,Gaussian intensity-based local boundary refinement,R1
IXI002-Guys-0828,W3,R2,SUCCESS,107.3,0.0,0.0,0.0,0,"Graph-cut / active contour, T1+T2 joint",R1
IXI002-Guys-0828,W3,R3,SUCCESS,16.2,0.0,0.0,0.0,0,Morphological correction only (baseline),R1
IXI012-HH-1211,W1,R1,SUCCESS,21.0,0.1429,93441.0,-0.8914,0,Gaussian intensity-based local boundary refinement,R1
IXI012-HH-1211,W1,R2,SUCCESS,105.7,0.0,0.0,0.0,0,"Graph-cut / active contour, T1+T2 joint",R1
IXI012-HH-1211,W1,R3,SUCCESS,15.0,0.0,0.0,0.0,0,Morphological correction only (baseline),R1
IXI012-HH-1211,W2,R1,SUCCESS,19.0,0.0345,146285.25,-1.0347,0,Gaussian intensity-based local boundary refinement,R1
IXI012-HH-1211,W2,R2,SUCCESS,101.1,0.0,0.0,0.0,0,"Graph-cut / active contour, T1+T2 joint",R1
IXI012-HH-1211,W2,R3,SUCCESS,16.1,0.0,0.0,0.0,0,Morphological correction only (baseline),R1
IXI012-HH-1211,W3,R1,SUCCESS,18.7,0.1429,93441.0,-0.8914,0,Gaussian intensity-based local boundary refinement,R1
IXI012-HH-1211,W3,R2,SUCCESS,95.2,0.0,0.0,0.0,0,"Graph-cut / active contour, T1+T2 joint",R1
IXI012-HH-1211,W3,R3,SUCCESS,15.1,0.0,0.0,0.0,0,Morphological correction only (baseline),R1
IXI013-HH-1212,W1,R1,SUCCESS,18.6,0.0653,107233.5333,-1.0797,0,Gaussian intensity-based local boundary refinement,R1
IXI013-HH-1212,W1,R2,SUCCESS,102.2,0.0,0.0,0.0,0,"Graph-cut / active contour, T1+T2 joint",R1
IXI013-HH-1212,W1,R3,SUCCESS,16.3,0.0,0.0,0.0,0,Morphological correction only (baseline),R1
