,label,atlas_mm3,vol_left_mean,vol_right_mean,retention_pct,lr_ratio_mean,lr_ratio_std,mirror_err_mean,compactness_mean,t1_outlier_mean,gradient_mean,bbox_fill_mean,consist_score,loo_dsc,quality_score,tier1_n,tier2_n,tier3_n,tier1_pct,dominant_tier
1,PuL,388.0,361.6,387.2,96.47999999999999,0.9339999999999999,0.041593268686170824,1.12,0.7618,0.0696,0.0924,0.4018,0.8939999999999999,0.733,0.9040000000000001,5,0,0,100,TIER-1
2,RN,382.0,420.4,417.2,109.62,1.01,0.042426406871192875,0.9199999999999999,0.8112,0.0856,0.09040000000000001,0.45599999999999996,0.8699999999999999,0.756,0.901,5,0,0,100,TIER-1
3,PuM,1832.0,1222.0,1219.4,66.6,1.0,0.03391164991562635,1.4,0.674,0.1598,0.266,0.3234,0.8299999999999998,0.8009999999999999,0.8788,5,0,0,100,TIER-1
4,STh,239.0,273.2,260.6,111.67999999999999,1.05,0.0452769256906871,0.72,0.7163999999999999,0.059399999999999994,0.11599999999999999,0.2766,0.908,0.654,0.8788,5,0,0,100,TIER-1
5,VLpd,760.0,651.6,620.2,83.64,1.05,0.039370039370059076,1.3599999999999999,0.6864,0.0914,0.18180000000000002,0.317,0.873,0.667,0.8714000000000001,5,0,0,100,TIER-1
6,VApc,565.0,461.2,438.4,79.6,1.052,0.09959919678390988,1.1400000000000001,0.6266,0.1042,0.20739999999999997,0.2556,0.8939999999999999,0.624,0.8614,5,0,0,100,TIER-1
7,LP,448.0,346.0,536.2,98.47999999999999,0.65,0.04847679857416329,1.4,0.6734,0.08,0.14679999999999999,0.25,0.8720000000000001,0.666,0.8597999999999999,5,0,0,100,TIER-1
8,VPLp,553.0,520.0,501.8,92.38000000000001,1.036,0.05856620185738536,1.2200000000000002,0.6052,0.048,0.0858,0.2664,0.901,0.579,0.859,5,0,0,100,TIER-1
9,CM,308.0,226.2,216.2,71.82000000000001,1.05,0.055677643628300265,1.04,0.7605999999999999,0.025,0.1494,0.3068,0.852,0.623,0.8545999999999999,5,0,0,100,TIER-1
10,VLpv,743.0,727.0,711.4,96.78,1.02,0.04415880433163927,1.1800000000000002,0.5944,0.0688,0.092,0.2144,0.883,0.568,0.8497999999999999,5,0,0,100,TIER-1
11,MDpc,1035.0,630.6,603.2,59.6,1.056,0.08933084573650915,1.2,0.661,0.13,0.288,0.3456,0.79,0.705,0.8416,5,0,0,100,TIER-1
12,AV,292.0,204.8,184.0,66.56,1.12,0.17705931209625772,1.2399999999999998,0.6712,0.0882,0.5524,0.3008,0.736,0.657,0.8311999999999999,5,0,0,100,TIER-1
13,MGN,213.0,170.2,175.8,81.2,0.978,0.0995991967839099,1.3,0.7354,0.24300000000000002,0.42379999999999995,0.30379999999999996,0.777,0.649,0.8309999999999998,5,0,0,100,TIER-1
14,LGNpc,185.0,168.4,157.6,88.12,1.076,0.14240786495134317,1.2,0.6702,0.11639999999999999,0.23420000000000002,0.30260000000000004,0.852,0.612,0.8295999999999999,5,0,0,100,TIER-1
15,VLa,319.0,347.6,323.8,105.22,1.08,0.11597413504743204,1.06,0.6826000000000001,0.0482,0.082,0.31779999999999997,0.8699999999999999,0.469,0.821,5,0,0,100,TIER-1
16,Pf,187.0,126.8,125.0,67.32000000000001,1.02,0.05385164807134504,1.06,0.637,0.161,0.43,0.2566,0.8469999999999999,0.577,0.8072000000000001,5,0,0,100,TIER-1
