subject,label,atlas_vol_L_mm3,atlas_vol_R_mm3,warped_vol_L_mm3,warped_vol_R_mm3,VPI_left,VPI_right,VPI_tier,LR_ratio,symmetry_tier,cross_subject_CV
IXI002-Guys-0828,AD,9.0,7.0,7.38,7.38,0.82,1.055,IYI,1.0,SIMETRIK,0.282
IXI012-HH-1211,AD,9.0,7.0,9.49,7.38,1.055,1.055,IYI,1.286,HAFIF_ASIM,0.282
IXI013-HH-1212,AD,9.0,7.0,5.27,6.33,0.586,0.904,ORTA,0.833,SIMETRIK,0.282
IXI015-HH-1258,AD,9.0,7.0,12.66,1.05,1.406,0.151,ORTA,12.0,ASIMETRIK,0.282
IXI016-Guys-0697,AD,9.0,7.0,8.44,7.38,0.937,1.055,IYI,1.143,SIMETRIK,0.282
IXI002-Guys-0828,AM,50.0,47.0,24.26,23.2,0.485,0.494,ZAYIF,1.045,SIMETRIK,0.381
IXI012-HH-1211,AM,50.0,47.0,44.3,45.35,0.886,0.965,IYI,0.977,SIMETRIK,0.381
IXI013-HH-1212,AM,50.0,47.0,21.09,32.7,0.422,0.696,ZAYIF,0.645,HAFIF_ASIM,0.381
IXI015-HH-1258,AM,50.0,47.0,33.75,32.7,0.675,0.696,ORTA,1.032,SIMETRIK,0.381
IXI016-Guys-0697,AM,50.0,47.0,59.06,28.48,1.181,0.606,IYI,2.074,ASIMETRIK,0.381
IXI002-Guys-0828,AV,292.0,287.0,197.23,230.98,0.675,0.805,ORTA,0.854,SIMETRIK,0.179
IXI012-HH-1211,AV,292.0,287.0,229.92,215.16,0.787,0.75,IYI,1.069,SIMETRIK,0.179
IXI013-HH-1212,AV,292.0,287.0,216.21,224.65,0.74,0.783,IYI,0.962,SIMETRIK,0.179
IXI015-HH-1258,AV,292.0,287.0,215.16,227.81,0.737,0.794,IYI,0.944,SIMETRIK,0.179
IXI016-Guys-0697,AV,292.0,287.0,316.41,263.67,1.084,0.919,IYI,1.2,SIMETRIK,0.179
IXI002-Guys-0828,CL,884.0,856.0,554.76,590.62,0.628,0.69,ORTA,0.939,SIMETRIK,0.089
IXI012-HH-1211,CL,884.0,856.0,693.99,686.6,0.785,0.802,IYI,1.011,SIMETRIK,0.089
IXI013-HH-1212,CL,884.0,856.0,630.7,639.14,0.713,0.747,IYI,0.987,SIMETRIK,0.089
IXI015-HH-1258,CL,884.0,856.0,723.52,641.25,0.818,0.749,IYI,1.128,SIMETRIK,0.089
IXI016-Guys-0697,CL,884.0,856.0,656.01,641.25,0.742,0.749,IYI,1.023,SIMETRIK,0.089
IXI002-Guys-0828,CM,308.0,304.0,229.92,214.1,0.746,0.704,IYI,1.074,SIMETRIK,0.067
IXI012-HH-1211,CM,308.0,304.0,256.29,245.74,0.832,0.808,IYI,1.043,SIMETRIK,0.067
IXI013-HH-1212,CM,308.0,304.0,232.03,237.3,0.753,0.781,IYI,0.978,SIMETRIK,0.067
IXI015-HH-1258,CM,308.0,304.0,259.45,225.7,0.842,0.742,IYI,1.15,SIMETRIK,0.067
IXI016-Guys-0697,CM,308.0,304.0,218.32,208.83,0.709,0.687,IYI,1.045,SIMETRIK,0.067
IXI002-Guys-0828,CeM,154.0,173.0,94.92,104.41,0.616,0.604,ORTA,0.909,SIMETRIK,0.137
IXI012-HH-1211,CeM,154.0,173.0,131.84,152.93,0.856,0.884,IYI,0.862,SIMETRIK,0.137
IXI013-HH-1212,CeM,154.0,173.0,120.23,128.67,0.781,0.744,IYI,0.934,SIMETRIK,0.137
IXI015-HH-1258,CeM,154.0,173.0,114.96,139.22,0.747,0.805,IYI,0.826,SIMETRIK,0.137
IXI016-Guys-0697,CeM,154.0,173.0,144.49,124.45,0.938,0.719,IYI,1.161,SIMETRIK,0.137
IXI002-Guys-0828,Hb,51.0,56.0,22.15,23.2,0.434,0.414,ZAYIF,0.955,SIMETRIK,0.34
IXI012-HH-1211,Hb,51.0,56.0,53.79,41.13,1.055,0.735,IYI,1.308,HAFIF_ASIM,0.34
IXI013-HH-1212,Hb,51.0,56.0,31.64,31.64,0.62,0.565,ORTA,1.0,SIMETRIK,0.34
IXI015-HH-1258,Hb,51.0,56.0,30.59,26.37,0.6,0.471,ORTA,1.16,SIMETRIK,0.34
IXI016-Guys-0697,Hb,51.0,56.0,25.31,43.24,0.496,0.772,ZAYIF,0.585,HAFIF_ASIM,0.34
IXI002-Guys-0828,LD,164.0,164.0,126.56,112.85,0.772,0.688,IYI,1.121,SIMETRIK,0.187
IXI012-HH-1211,LD,164.0,164.0,111.8,108.63,0.682,0.662,ORTA,1.029,SIMETRIK,0.187
IXI013-HH-1212,LD,164.0,164.0,127.62,111.8,0.778,0.682,IYI,1.142,SIMETRIK,0.187
IXI015-HH-1258,LD,164.0,164.0,129.73,139.22,0.791,0.849,IYI,0.932,SIMETRIK,0.187
IXI016-Guys-0697,LD,164.0,164.0,185.62,198.28,1.132,1.209,IYI,0.936,SIMETRIK,0.187
IXI002-Guys-0828,LGNmc,77.0,80.0,56.95,59.06,0.74,0.738,IYI,0.964,SIMETRIK,0.164
IXI012-HH-1211,LGNmc,77.0,80.0,79.1,78.05,1.027,0.976,IYI,1.014,SIMETRIK,0.164
IXI013-HH-1212,LGNmc,77.0,80.0,59.06,63.28,0.767,0.791,IYI,0.933,SIMETRIK,0.164
IXI015-HH-1258,LGNmc,77.0,80.0,73.83,75.94,0.959,0.949,IYI,0.972,SIMETRIK,0.164
